New_symbols1,New_symbols2_1,New_symbols2_2,New_symbols2_3,New_symbols3
Snca,0,0,1,+
Cplx2,0,0,1,.
Lhx6,0,0,1,s
Col25a1,0,0,1,^
Pnoc,0,0,1,>
Rab3c,0,0,1,<
Gad1,0,0,1,p
Slc6a1,0,0,1,h
Th,0,0.7,1,+
Crhbp,0,0.7,1,o
Sst,0,0.7,1,*
Npy,0,0.7,1,.
Synpr,0,0.7,1,x
Chodl,0,0.7,1,s
Cort,0,0.7,1,d
Reln,0,0.7,1,^
Serpini1,0,0.7,1,<
Satb1,0,0.7,1,>
Grin3a,0,0.7,1,p
Tac1,0.359999999999999,0.2,1,o
Pvalb,0.359999999999999,0.2,1,*
Kcnip2,0.359999999999999,0.2,1,s
Thsd7a,0.359999999999999,0.2,1,d
Cox6a2,0.359999999999999,0.2,1,v
Chrm2,0.359999999999999,0.2,1,p
Id2,1,0,0.9,+
Hapln1,1,0,0.9,o
Gabrd,1,0,0.9,*
Cryab,1,0,0.9,x
Kit,1,0,0.9,s
Ndnf,1,0,0.9,d
Nos1,1,0,0.9,^
Lamp5,1,0,0.9,>
Cplx3,1,0,0.9,h
Cadps2,0.6,0.36,0,o
Cxcl14,0.6,0.36,0,*
Ntng1,0.6,0.36,0,s
Cpne5,0.6,0.36,0,d
Rgs12,0.6,0.36,0,h
Sncg,1,0,0,o
Cnr1,1,0,0,*
Cck,1,0,0,.
Trp53i11,1,0,0,x
Sema3c,1,0,0,s
Syt6,1,0,0,^
Yjefn3,1,0,0,v
Rgs10,1,0,0,>
Nov,1,0,0,<
Kctd12,1,0,0,p
Slc17a8,1,0,0,h
Tac2,1,0.78,0,+
Npy2r,1,0.78,0,o
Calb2,1,0.78,0,*
Htr3a,1,0.78,0,.
Slc5a7,1,0.78,0,x
Penk,1,0.78,0,s
Pthlh,1,0.78,0,^
Vip,1,0.78,0,v
Crh,1,0.78,0,>
Qrfpr,1,0.78,0,p
Zcchc12,0.588,0.7,0.56,+
Calb1,0.588,0.7,0.56,*
Vsnl1,0.588,0.7,0.56,.
Tmsb10,0.588,0.7,0.56,d
Rbp4,0.588,0.7,0.56,v
Fxyd6,0.588,0.7,0.56,^
6330403K07Rik,0.588,0.7,0.56,<
Scg2,0.588,0.7,0.56,>
Gap43,0.588,0.7,0.56,p
Nrsn1,0.588,0.7,0.56,h
Gda,0.25,0.5,0.35,+
Bcl11b,0.25,0.5,0.35,o
Rgs4,0.25,0.5,0.35,*
Slc24a2,0.25,0.5,0.35,.
Lphn2,0.25,0.5,0.35,x
Map2,0.25,0.5,0.35,s
Prkca,0.25,0.5,0.35,d
Cdh13,0.25,0.5,0.35,^
Atp1b1,0.25,0.5,0.35,v
Pde1a,0.25,0.5,0.35,<
Calm2,0.25,0.5,0.35,>
Sema3e,0.25,0.5,0.35,h
Nrn1,0,1,0,*
Pcp4,0,1,0,.
Rprm,0,1,0,+
Enpp2,0,1,0,x
Rorb,0,1,0,o
Rasgrf2,0,1,0,s
Wfs1,0,1,0,d
Fos,0,1,0,>
Plcxd2,0,1,0,v
Crym,0,1,0,<
3110035E14Rik,0,1,0,^
Foxp2,0,1,0,p
Pvrl3,0,1,0,h
Neurod6,0.266,0.7,0,+
Nr4a2,0.266,0.7,0,o
Cux2,0.266,0.7,0,*
Kcnk2,0.266,0.7,0,.
Arpp21,0.266,0.7,0,s
Enc1,0.266,0.7,0,v
Fam19a1,0.266,0.7,0,>
Vim,1,1,1,*
Slc1a2,1,1,1,.
Pax6,1,1,1,s
Plp1,1,1,1,x
Mal,1,1,1,+
Aldoc,1,1,1,o
Actb,1,1,1,v
Sulf2,1,1,1,p
Atp6v0d2,1,0.5,0.5,+
Bin1,1,0.5,0.5,o
Bin2,1,0.5,0.5,*
C1qa,1,0.5,0.5,x
C1qB,1,0.5,0.5,s
C1qC,1,0.5,0.5,d
Ccr5,1,0.5,0.5,^
Csf1r,1,0.5,0.5,v
Cx3cr1,1,0.5,0.5,<
Cyfip1,1,0.5,0.5,>
Grn,1,0.5,0.5,p
Laptm5,1,0.5,0.5,h
Olfml3,0.9,0.63,0.63,+
P2ry12,0.9,0.63,0.63,o
Plcg2,0.9,0.63,0.63,*
Pld3,0.9,0.63,0.63,x
Pld4,0.9,0.63,0.63,s
Ptk2b,0.9,0.63,0.63,d
Sparc,0.9,0.63,0.63,^
Tmem119,0.9,0.63,0.63,v
